Algorithm,ArraySize,ValueRange,ExecutionTime_us,MemoryUsed_bytes,Distribution,EdgeCase
Counting Sort (Stable),1000,100000,173,404004,normal,false
Radix Sort (LSD),1000,100000,466,8000,normal,false
Bucket Sort,1000,100000,234,8000,normal,false
Flash Sort,1000,100000,241,8000,normal,false
Spread Sort,1000,100000,95,4000,normal,false
Counting Sort (Non-Stable),1000,100000,282,287436,skewed,false
Counting Sort (Stable),1000,100000,70,291436,skewed,false
Radix Sort (LSD),1000,100000,437,8000,skewed,false
Bucket Sort,1000,100000,207,8000,skewed,false
Flash Sort,1000,100000,162,8000,skewed,false
Spread Sort,1000,100000,90,4000,skewed,false
Counting Sort (Non-Stable),1000,100000,368,399924,concentrated,false
Counting Sort (Stable),1000,100000,101,403924,concentrated,false
Radix Sort (LSD),1000,100000,460,8000,concentrated,false
Bucket Sort,1000,100000,250,8000,concentrated,false
Flash Sort,1000,100000,165,8000,concentrated,false
Spread Sort,1000,100000,93,4000,concentrated,false
Counting Sort (Non-Stable),2500,50,16,204,uniform,false
Counting Sort (Stable),2500,50,10,10204,uniform,false
Radix Sort (LSD),2500,50,295,20000,uniform,false
Bucket Sort,2500,50,160,20000,uniform,false
Flash Sort,2500,50,263,20000,uniform,false
Spread Sort,2500,50,269,10000,uniform,false
Counting Sort (Non-Stable),2500,50,13,204,normal,false
Counting Sort (Stable),2500,50,8,10204,normal,false
Radix Sort (LSD),2500,50,247,20000,normal,false
Bucket Sort,2500,50,185,20000,normal,false
Flash Sort,2500,50,258,20000,normal,false
Spread Sort,2500,50,256,10000,normal,false
Counting Sort (Non-Stable),2500,50,72,204,skewed,false
Counting Sort (Stable),2500,50,11,10204,skewed,false
Radix Sort (LSD),2500,50,296,20000,skewed,false
Bucket Sort,2500,50,184,20000,skewed,false
Flash Sort,2500,50,271,20000,skewed,false
Spread Sort,2500,50,267,10000,skewed,false
Counting Sort (Non-Stable),2500,50,11,204,concentrated,false
Counting Sort (Stable),2500,50,8,10204,concentrated,false
Radix Sort (LSD),2500,50,235,20000,concentrated,false
Bucket Sort,2500,50,153,20000,concentrated,false
Flash Sort,2500,50,209,20000,concentrated,false
Spread Sort,2500,50,261,10000,concentrated,false
Counting Sort (Non-Stable),2500,100,12,404,uniform,false
Counting Sort (Stable),2500,100,8,10404,uniform,false
Radix Sort (LSD),2500,100,413,20000,uniform,false
Bucket Sort,2500,100,191,20000,uniform,false
Flash Sort,2500,100,292,20000,uniform,false
Spread Sort,2500,100,436,10000,uniform,false
Counting Sort (Non-Stable),2500,100,6,404,normal,false
Counting Sort (Stable),2500,100,8,10404,normal,false
Radix Sort (LSD),2500,100,408,20000,normal,false
Bucket Sort,2500,100,201,20000,normal,false
Flash Sort,2500,100,295,20000,normal,false
Spread Sort,2500,100,418,10000,normal,false
Counting Sort (Non-Stable),2500,100,12,404,skewed,false
Counting Sort (Stable),2500,100,7,10404,skewed,false
Radix Sort (LSD),2500,100,407,20000,skewed,false
